datetime,average
2015-03-04 04:46:57,280.75
2015-03-04 04:48:25,280.63
2015-03-04 04:49:27,280.66
2015-03-04 04:50:55,280.99
2015-03-04 04:51:56,280.96
2015-03-04 04:53:27,281.0
2015-03-04 04:54:57,281.91
2015-03-04 04:55:59,281.93
2015-03-04 04:57:27,282.06
2015-03-04 04:58:28,282.12
2015-03-04 04:59:58,281.93
2015-03-04 05:01:27,282.06
2015-03-04 05:02:58,282.52
2015-03-04 05:04:28,282.39
2015-03-04 05:05:58,282.52
2015-03-04 05:07:29,281.9
2015-03-04 05:08:57,281.73
2015-03-04 05:09:59,281.8
2015-03-04 05:11:28,281.81
2015-03-04 05:12:57,281.74
2015-03-04 05:13:59,281.65
2015-03-04 05:15:27,281.6
2015-03-04 05:16:28,281.44
2015-03-04 05:17:29,281.67
2015-03-04 05:18:58,281.54
2015-03-04 05:20:28,281.56
2015-03-04 05:21:59,281.3
2015-03-04 05:23:20,281.21
2015-03-04 05:24:50,281.17
2015-03-04 05:26:19,280.93
2015-03-04 05:27:29,280.79
2015-03-04 05:28:59,280.51
2015-03-04 05:30:29,280.85
2015-03-04 05:31:51,281.32
2015-03-04 05:33:21,281.39
2015-03-04 05:34:52,281.52
2015-03-04 05:35:53,281.35
2015-03-04 05:37:22,281.29
2015-03-04 05:38:52,281.3
2015-03-04 05:39:53,281.3
2015-03-04 05:41:21,281.26
2015-03-04 05:42:22,281.4
2015-03-04 05:43:53,281.55
2015-03-04 05:45:23,281.46
2015-03-04 05:46:54,281.6
2015-03-04 05:48:24,281.6
2015-03-04 05:49:54,281.52
2015-03-04 05:51:23,280.75
2015-03-04 05:52:53,280.48
2015-03-04 05:54:24,280.89
2015-03-04 05:55:55,280.63
2015-03-04 05:57:24,280.75
2015-03-04 05:58:53,280.51
2015-03-04 05:59:54,280.57
2015-03-04 06:01:24,280.38
2015-03-04 06:02:53,280.44
2015-03-04 06:04:24,280.41
2015-03-04 06:05:54,280.56
2015-03-04 06:07:23,280.88
2015-03-04 06:08:25,281.05
2015-03-04 06:09:53,280.84
2015-03-04 06:11:23,281.42
2015-03-04 06:12:54,282.3
2015-03-04 06:14:24,282.55
2015-03-04 06:15:54,282.76
2015-03-04 06:17:23,282.75
2015-03-04 06:18:54,282.24
2015-03-04 06:19:55,281.97
2015-03-04 06:21:24,281.5
2015-03-04 06:22:53,281.46
2015-03-04 06:23:55,280.89
2015-03-04 06:25:23,280.94
2015-03-04 06:26:24,280.59
2015-03-04 06:27:54,280.13
2015-03-04 06:29:25,279.33
2015-03-04 06:30:54,279.42
2015-03-04 06:32:25,279.62
2015-03-04 06:33:56,279.78
2015-03-04 06:35:24,279.58
2015-03-04 06:36:25,279.4
2015-03-04 06:37:55,278.78
2015-03-04 06:39:26,278.9
2015-03-04 06:40:56,278.73
2015-03-04 06:42:24,278.87
2015-03-04 06:43:25,279.23
2015-03-04 06:44:55,279.16
2015-03-04 06:46:25,278.89
2015-03-04 06:47:26,278.98
2015-03-04 06:48:54,277.76
2015-03-04 06:50:24,276.87
2015-03-04 06:51:55,277.07
2015-03-04 06:53:24,277.88
2015-03-04 06:54:25,277.75
2015-03-04 06:55:55,277.43
2015-03-04 06:57:26,277.78
2015-03-04 06:58:56,277.75
2015-03-04 06:59:57,277.92
2015-03-04 07:01:26,278.22
2015-03-04 07:02:57,278.32
2015-03-04 07:04:27,278.52
2015-03-04 07:05:57,278.63
2015-03-04 07:07:26,278.88
2015-03-04 07:08:55,278.44
2015-03-04 07:10:26,278.65
2015-03-04 07:11:56,279.1
2015-03-04 07:12:57,279.26
2015-03-04 07:14:25,278.98
2015-03-04 07:15:26,278.91
2015-03-04 07:16:27,278.87
2015-03-04 07:17:28,278.64
2015-03-04 07:18:56,278.6
2015-03-04 07:19:57,278.64
2015-03-04 07:21:27,278.78
2015-03-04 07:22:58,278.86
2015-03-04 07:24:27,278.5
